5000, 01, 74374224157, 71364416478, 1672616736, 1672616759
5001, 02, 71364416478, 74374224157, 1672616736, 1672616759
5002, 02, 71364416478, 74374224157, 1672616899, 1672618125
5003, 01, 74374224157, 71364416478, 1672616899, 1672618125
5004, 01, 787845253770, 7747873230, 1672617967, 1672618125
5005, 02, 7747873230, 787845253770, 1672617967, 1672618125
5006, 02, 74374224157, 76168793160, 1672619284, 1672621025
5007, 01, 76168793160, 74374224157, 1672619284, 1672621025
5008, 01, 7747873230, 787845253770, 1672621948, 1672622880
5009, 02, 787845253770, 7747873230, 1672621948, 1672622880
