3497, 01, 7968969935, 76168793160, 1672565863, 1672566397
3498, 01, 75326984736, 74374224157, 1672566124, 1672569065
3499, 02, 7968969935, 75326984736, 1672569928, 1672570858
3500, 01, 75326984736, 74374224157, 1672570966, 1672571064
3501, 01, 74982406633, 71364416478, 1672568532, 1672571927
3502, 02, 71364416478, 74982406633, 1672568532, 1672571927
3503, 02, 74571938267, 76168793160, 1672567678, 1672574831
3504, 01, 71364416478, 75326984736, 1672573444, 1672574831
3505, 01, 74374224157, 75326984736, 1672577141, 1672584002
3506, 02, 74571938267, 7747873230, 1672584768, 1672586669
